Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
8.82,179.3171539307,0.0185484296,0.0185484296,0.0000000000,-0.00055456,-0.00004410,-0.0056943955,178
8.87,179.3174743652,-0.0033983395,-0.0033983395,0.0000000000,-0.00030667,-0.00004681,-0.0044697651,179
8.92,179.3231506348,-0.0077744606,-0.0077744606,0.0000000000,-0.00008761,-0.00004423,-0.0052899237,180
8.97,179.3331146240,-0.0186538642,-0.0186538642,0.0000000000,0.00020639,-0.00004557,-0.0045478094,181
9.02,179.3254089355,-0.0021512919,-0.0021512919,0.0000000000,0.00018137,-0.00004557,-0.0047079540,182
9.07,179.3344116211,-0.0141611557,-0.0141611557,0.0000000000,0.00032220,-0.00004299,-0.0045003670,183
9.12,179.3265686035,-0.0251957451,-0.0251957451,0.0000000000,0.00057003,-0.00004822,-0.0033728139,184
9.17,179.3191680908,-0.0029243743,-0.0029243743,0.0000000000,0.00043220,-0.00004563,-0.0060347648,185
9.22,179.3203887939,-0.0118206944,-0.0118206944,0.0000000000,0.00046069,-0.00004563,-0.0051182789,186
9.27,179.3108367920,-0.0154964883,-0.0154964883,0.0000000000,0.00052866,-0.00004563,-0.0038813635,187
9.32,179.3148193359,0.0044267242,0.0044267242,0.0000000000,0.00030858,-0.00004584,-0.0057487257,188
9.37,179.3119964600,0.0015157571,0.0015157571,0.0000000000,0.00020065,-0.00004584,-0.0053860430,189
9.42,179.2979736328,0.0113007192,0.0113007192,0.0000000000,-0.00000167,-0.00004584,-0.0062889328,190
9.47,179.3002014160,0.0008290641,0.0008290641,0.0000000000,-0.00000202,-0.00004067,-0.0053972432,191
9.52,179.2944946289,0.0006349987,0.0006349987,0.0000000000,0.00000377,-0.00004067,-0.0062163416,192
9.57,179.2962493896,-0.0091669013,-0.0091669013,0.0000000000,0.00013569,-0.00003809,-0.0048175184,193
9.62,179.3042297363,-0.0105953780,-0.0105953780,0.0000000000,0.00024433,-0.00003809,-0.0048997101,194
9.67,179.3061065674,0.0095965586,0.0095965586,0.0000000000,0.00004756,-0.00003809,-0.0066169629,195
9.72,179.3159332275,-0.0014015603,-0.0014015603,0.0000000000,0.00006328,-0.00003829,-0.0049818648,196
9.77,179.3236236572,-0.0216024837,-0.0216024837,0.0000000000,0.00034288,-0.00003829,-0.0047393943,197
9.82,179.3172607422,0.0009828819,0.0009828819,0.0000000000,0.00022808,-0.00003829,-0.0059287164,198
9.87,179.3267517090,0.0246526638,0.0246526638,0.0000000000,-0.00016659,-0.00003559,-0.0070844524,199
9.92,179.3205413818,0.0056837669,0.0056837669,0.0000000000,-0.00017484,-0.00003559,-0.0050633129,200
9.97,179.3055725098,0.0207600672,0.0207600672,0.0000000000,-0.00038387,-0.00003301,-0.0071134128,201
10.02,179.2948455811,0.0217143413,0.0217143413,0.0000000000,-0.00053411,-0.00003301,-0.0056762769,202
10.07,179.2887268066,0.0286301998,0.0286301998,0.0000000000,-0.00072636,-0.00003301,-0.0075109693,203
10.12,179.2861328125,0.0260621411,0.0260621411,0.0000000000,-0.00082020,-0.00003301,-0.0064698378,204
10.17,179.2878112793,0.0220852191,0.0220852191,0.0000000000,-0.00082969,-0.00003301,-0.0060069459,205
10.22,179.2883148193,0.0010870849,0.0010870849,0.0000000000,-0.00055892,-0.00003022,-0.0049434771,206
10.27,179.2772064209,-0.0016833690,-0.0016833690,0.0000000000,-0.00033978,-0.00003022,-0.0052598430,207
10.32,179.2929687500,0.0095223078,0.0095223078,0.0000000000,-0.00034316,-0.00003022,-0.0055200434,208
10.37,179.2810516357,0.0210925931,0.0210925931,0.0000000000,-0.00049963,-0.00003022,-0.0055789024,209
10.42,179.2786102295,0.0142347992,0.0142347992,0.0000000000,-0.00051245,-0.00003022,-0.0058138821,210
10.47,179.2824249268,0.0331674163,0.0331674163,0.0000000000,-0.00077335,-0.00003022,-0.0070511872,211
10.52,179.2851257324,0.0260378590,0.0260378590,0.0000000000,-0.00084957,-0.00003275,-0.0062152055,212
10.57,179.2835693359,0.0299034566,0.0299034566,0.0000000000,-0.00095356,-0.00003275,-0.0064155715,213
10.62,179.2884979248,0.0405017544,0.0405017544,0.0000000000,-0.00116687,-0.00002996,-0.0063800390,214
10.68,179.2830810547,0.0268550118,0.0268550118,0.0000000000,-0.00112521,-0.00002996,-0.0074100688,215
10.73,179.2945556641,0.0233180214,0.0233180214,0.0000000000,-0.00105032,-0.00002996,-0.0062546503,216
10.78,179.2850952148,0.0567978233,0.0567978233,0.0000000000,-0.00144397,-0.00003267,-0.0081638877,217
10.83,179.2865142822,0.0315609809,0.0315609809,0.0000000000,-0.00137161,-0.00003267,-0.0070832870,218
10.88,179.2794189453,0.0316021141,0.0316021141,0.0000000000,-0.00132654,-0.00003008,-0.0067218490,219
10.93,179.2772521973,0.0289706735,0.0289706735,0.0000000000,-0.00125973,-0.00003008,-0.0072266285,220
10.98,179.2835388184,0.0339658614,0.0339658614,0.0000000000,-0.00128180,-0.00003008,-0.0068640286,221
11.03,179.2713470459,0.0223930484,0.0223930484,0.0000000000,-0.00113981,-0.00003253,-0.0066024427,222
11.08,179.2699432373,0.0353426842,0.0353426842,0.0000000000,-0.00121946,-0.00003253,-0.0066818059,223
11.13,179.2606353760,0.0248482976,0.0248482976,0.0000000000,-0.00113263,-0.00003253,-0.0058360633,224
11.18,179.2537231445,0.0124414089,0.0124414089,0.0000000000,-0.00091201,-0.00002995,-0.0063648316,225
11.23,179.2632904053,0.0078541156,0.0078541156,0.0000000000,-0.00070219,-0.00002995,-0.0045847421,226
11.28,179.2596282959,0.0176626276,0.0176626276,0.0000000000,-0.00069574,-0.00002736,-0.0057724662,227
11.33,179.2593994141,0.0193603272,0.0193603272,0.0000000000,-0.00071236,-0.00002736,-0.0069944216,228
11.38,179.2681427002,-0.0088959803,-0.0088959803,0.0000000000,-0.00034680,-0.00002736,-0.0052015730,229
11.43,179.2633666992,0.0241594193,0.0241594193,0.0000000000,-0.00054395,-0.00002731,-0.0065769726,230
11.48,179.2755126953,-0.0030552582,-0.0030552582,0.0000000000,-0.00031249,-0.00002731,-0.0057397473,231
11.53,179.2813262939,-0.0031191975,-0.0031191975,0.0000000000,-0.00016004,-0.00002473,-0.0044423125,232
11.58,179.2678375244,-0.0061878161,-0.0061878161,0.0000000000,-0.00001587,-0.00002473,-0.0059814346,233
11.63,179.2611694336,0.0030779957,0.0030779957,0.0000000000,-0.00004334,-0.00002473,-0.0058510254,234
11.68,179.2686614990,0.0151121445,0.0151121445,0.0000000000,-0.00022442,-0.00002235,-0.0064405617,235
11.73,179.2680511475,0.0313368223,0.0313368223,0.0000000000,-0.00055971,-0.00002235,-0.0068732433,236
11.78,179.2767181396,0.0113690236,0.0113690236,0.0000000000,-0.00051691,-0.00002235,-0.0052154313,237
11.83,179.2781066895,0.0175372695,0.0175372695,0.0000000000,-0.00057315,-0.00001980,-0.0060941156,238
11.88,179.2802734375,0.0075487258,0.0075487258,0.0000000000,-0.00047579,-0.00001980,-0.0050206801,239
11.93,179.2911834717,0.0020294568,0.0020294568,0.0000000000,-0.00033995,-0.00001722,-0.0048829944,240
11.98,179.2839965820,0.0071674639,0.0071674639,0.0000000000,-0.00031623,-0.00001722,-0.0064715987,241
12.03,179.2749328613,0.0044414612,0.0044414612,0.0000000000,-0.00026410,-0.00001722,-0.0053436503,242
12.08,179.2769317627,-0.0148853776,-0.0148853776,0.0000000000,0.00003097,-0.00001995,-0.0037527863,243
12.13,179.2774047852,0.0005238947,0.0005238947,0.0000000000,0.00002031,-0.00001995,-0.0052526482,244
12.18,179.2915802002,-0.0153733272,-0.0153733272,0.0000000000,0.00022510,-0.00001995,-0.0048869656,245
