Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
16.95,542,-0.641839087,0.0099999998,0.01140144,-1.2837587595,0.0199999996,0.02231374,-1.9258396626,0.0299999993,0.03231774,-2.5681626797,0.0399999991,0.04321247,-3.210808754,0.0500000007,0.0533594,-3.8538594246,0.0599999987,0.06101382,-4.497396946,0.0700000003,0.07139967,-5.1415028572,0.0799999982,0.08100729,-5.7862620354,0.0900000036,0.09659145,-6.4317564964,0.1000000015,0.1076223
16.98,543,-0.641839087,0.0099999998,0.01127421,-1.2837587595,0.0199999996,0.02224075,-1.9258396626,0.0299999993,0.0323228,-2.5681626797,0.0399999991,0.04338477,-3.210808754,0.0500000007,0.05329226,-3.8538594246,0.0599999987,0.06099011,-4.497396946,0.0700000003,0.07124501,-5.1415028572,0.0799999982,0.0815553,-5.7862620354,0.0900000036,0.09630387,-6.4317564964,0.1000000015,0.10775812
17.03,544,-0.641839087,0.0099999998,0.01125712,-1.2837587595,0.0199999996,0.02213192,-1.9258396626,0.0299999993,0.03243643,-2.5681626797,0.0399999991,0.04339435,-3.210808754,0.0500000007,0.0533805,-3.8538594246,0.0599999987,0.06101342,-4.497396946,0.0700000003,0.07132581,-5.1415028572,0.0799999982,0.08143147,-5.7862620354,0.0900000036,0.09638961,-6.4317564964,0.1000000015,0.10796061
17.05,545,-0.641839087,0.0099999998,0.01126452,-1.2837587595,0.0199999996,0.02220285,-1.9258396626,0.0299999993,0.03231548,-2.5681626797,0.0399999991,0.04344433,-3.210808754,0.0500000007,0.05332734,-3.8538594246,0.0599999987,0.06093158,-4.497396946,0.0700000003,0.07161492,-5.1415028572,0.0799999982,0.08160454,-5.7862620354,0.0900000036,0.0960919,-6.4317564964,0.1000000015,0.10833682
17.07,546,-0.641839087,0.0099999998,0.01133712,-1.2837587595,0.0199999996,0.02208677,-1.9258396626,0.0299999993,0.03263781,-2.5681626797,0.0399999991,0.04360895,-3.210808754,0.0500000007,0.05341063,-3.8538594246,0.0599999987,0.0610493,-4.497396946,0.0700000003,0.07170471,-5.1415028572,0.0799999982,0.08169095,-5.7862620354,0.0900000036,0.09597507,-6.4317564964,0.1000000015,0.10860731
17.11,547,-0.641839087,0.0099999998,0.01117271,-1.2837587595,0.0199999996,0.02201557,-1.9258396626,0.0299999993,0.03280299,-2.5681626797,0.0399999991,0.04381419,-3.210808754,0.0500000007,0.05345768,-3.8538594246,0.0599999987,0.06112386,-4.497396946,0.0700000003,0.07189784,-5.1415028572,0.0799999982,0.08147346,-5.7862620354,0.0900000036,0.09552659,-6.4317564964,0.1000000015,0.10908304
17.17,548,-0.641839087,0.0099999998,0.0111167,-1.2837587595,0.0199999996,0.02212058,-1.9258396626,0.0299999993,0.03289876,-2.5681626797,0.0399999991,0.04399079,-3.210808754,0.0500000007,0.05322035,-3.8538594246,0.0599999987,0.06124895,-4.497396946,0.0700000003,0.07184267,-5.1415028572,0.0799999982,0.08139097,-5.7862620354,0.0900000036,0.09536398,-6.4317564964,0.1000000015,0.10916694
17.2,549,-0.641839087,0.0099999998,0.01106211,-1.2837587595,0.0199999996,0.02194059,-1.9258396626,0.0299999993,0.0330746,-2.5681626797,0.0399999991,0.04401549,-3.210808754,0.0500000007,0.05334268,-3.8538594246,0.0599999987,0.06120902,-4.497396946,0.0700000003,0.07213255,-5.1415028572,0.0799999982,0.08135122,-5.7862620354,0.0900000036,0.09515356,-6.4317564964,0.1000000015,0.10935222
17.24,550,-0.641839087,0.0099999998,0.01104025,-1.2837587595,0.0199999996,0.02193288,-1.9258396626,0.0299999993,0.03319907,-2.5681626797,0.0399999991,0.04411938,-3.210808754,0.0500000007,0.05318824,-3.8538594246,0.0599999987,0.061474,-4.497396946,0.0700000003,0.07190337,-5.1415028572,0.0799999982,0.0808837,-5.7862620354,0.0900000036,0.09514371,-6.4317564964,0.1000000015,0.10962951
17.27,551,-0.641839087,0.0099999998,0.01096876,-1.2837587595,0.0199999996,0.02204549,-1.9258396626,0.0299999993,0.03339915,-2.5681626797,0.0399999991,0.0442203,-3.210808754,0.0500000007,0.05288365,-3.8538594246,0.0599999987,0.0612966,-4.497396946,0.0700000003,0.07192624,-5.1415028572,0.0799999982,0.08100053,-5.7862620354,0.0900000036,0.09479633,-6.4317564964,0.1000000015,0.10956152
