Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
8.15,264,0,0,0.00006586,0,0,-0.00000072,0,0,-0.0000022,0,0,-0.00023252,0,0,0.00001194,0,0,-0.00010526,0,0,0.00002791,0,0,0.00000704,0,0,-0.00005495,0,0,-0.00007949
8.18,265,0,0,-0.00001464,0,0,-0.00003726,0,0,0.00000671,0,0,-0.00014721,0,0,0.00000489,0,0,-0.00001891,0,0,0.00000282,0,0,0.00001782,0,0,-0.00014759,0,0,-0.00007317
8.2,266,0,0,0.00002798,0,0,-0.00016776,0,0,-0.00003826,0,0,-0.00008195,0,0,-0.00000111,0,0,-0.00003143,0,0,-0.00000175,0,0,-0.00003326,0,0,-0.0000043,0,0,-0.00004155
8.24,267,0,0,0.00005508,0,0,-0.00011169,0,0,0.00001757,0,0,-0.00023663,0,0,-0.00005387,0,0,-0.00008483,0,0,-0.00001793,0,0,-0.00003568,0,0,-0.00010463,0,0,-0.00005013
8.27,268,0,0,-0.00002711,0,0,-0.00004672,0,0,-0.00012347,0,0,-0.00018756,0,0,-0.00003532,0,0,-0.00002871,0,0,-0.00000087,0,0,-0.00007555,0,0,-0.00003011,0,0,-0.00007843
8.3,269,0,0,0.00006912,0,0,-0.00004757,0,0,-0.00006506,0,0,-0.00018403,0,0,-0.00000741,0,0,0.00009497,0,0,-0.0000019,0,0,-0.0000065,0,0,-0.00009917,0,0,-0.00004219
8.33,270,0,0,0.00004693,0,0,-0.00005961,0,0,-0.00007317,0,0,-0.00027319,0,0,-0.00004951,0,0,-0.00002546,0,0,-0.00005822,0,0,0.00003503,0,0,-0.00009107,0,0,-0.00001612
8.36,271,0,0,0.00006889,0,0,-0.00002863,0,0,-0.00006835,0,0,-0.00008912,0,0,0.00003268,0,0,0.00000475,0,0,-0.0000007,0,0,0.00000744,0,0,-0.00006967,0,0,-0.00007257
8.39,272,0,0,0.00006188,0,0,0.00000929,0,0,-0.00000237,0,0,-0.00018301,0,0,-0.00005649,0,0,-0.00006758,0,0,-0.00013657,0,0,0.00001242,0,0,-0.00003168,0,0,0.00002553
8.42,273,0,0,0.00004637,0,0,-0.00003931,0,0,-0.00007799,0,0,-0.00010432,0,0,-0.00007827,0,0,-0.00007496,0,0,-0.00000035,0,0,-0.00002523,0,0,-0.00006336,0,0,-0.00001569
8.45,274,0,0,0.00001422,0,0,-0.00000885,0,0,-0.00007572,0,0,-0.00007582,0,0,0.00001914,0,0,-0.00010286,0,0,-0.00000396,0,0,-0.00003835,0,0,-0.00003116,0,0,0.0000429
8.48,275,0,0,-0.00000137,0,0,-0.0000633,0,0,-0.00001324,0,0,-0.00023511,0,0,-0.0000524,0,0,-0.00007304,0,0,-0.00001107,0,0,-0.00006511,0,0,0.00003765,0,0,-0.0000459
8.51,276,0,0,-0.00005488,0,0,-0.00007096,0,0,-0.00005974,0,0,-0.00018884,0,0,0.00001383,0,0,0.00001371,0,0,0.00000322,0,0,-0.00007189,0,0,-0.00006048,0,0,0.00004409
8.54,277,0,0,-0.00000081,0,0,-0.00000082,0,0,-0.00004944,0,0,-0.00018711,0,0,-0.00005466,0,0,-0.00010074,0,0,-0.00003223,0,0,0.00006071,0,0,0.00004603,0,0,-0.00007467
8.57,278,0,0,-0.00001834,0,0,-0.00006256,0,0,-0.00008344,0,0,-0.00011468,0,0,0.00000187,0,0,-0.00009116,0,0,0.00007764,0,0,-0.00004156,0,0,-0.00014419,0,0,0.00000877
8.6,279,0,0,0.00001269,0,0,-0.00007266,0,0,-0.00003763,0,0,-0.00018668,0,0,0.00008817,0,0,-0.00008115,0,0,0.00002094,0,0,-0.00003853,0,0,-0.00006436,0,0,0.00000862
8.63,280,0,0,0.00003256,0,0,-0.00004185,0,0,-0.00011932,0,0,-0.00015035,0,0,-0.00005762,0,0,-0.00008862,0,0,-0.00001853,0,0,-0.00006002,0,0,-0.00006563,0,0,-0.00005335
8.66,281,0,0,0.00008175,0,0,-0.00013571,0,0,-0.00003235,0,0,-0.00017877,0,0,-0.00004333,0,0,-0.00002725,0,0,-0.00010012,0,0,-0.00008994,0,0,-0.00000962,0,0,-0.00000549
8.69,282,0,0,0.0000411,0,0,-0.00011245,0,0,-0.00009537,0,0,-0.0002002,0,0,0.00004339,0,0,0.00002434,0,0,0.00002055,0,0,-0.00005585,0,0,0.00007406,0,0,0.00007898
8.72,283,0,0,0.00000062,0,0,-0.00006847,0,0,-0.00012055,0,0,-0.00026739,0,0,-0.00001896,0,0,-0.00002685,0,0,0.00000178,0,0,-0.00015653,0,0,-0.00000092,0,0,-0.00010746
8.75,284,0,0,0.00006916,0,0,-0.0000497,0,0,-0.00005131,0,0,-0.00021174,0,0,-0.0000685,0,0,0.00000467,0,0,-0.00011166,0,0,-0.0000296,0,0,-0.00005147,0,0,-0.00001178
8.78,285,0,0,0.00005436,0,0,-0.00006328,0,0,-0.00001303,0,0,-0.00024816,0,0,-0.00010637,0,0,-0.00009535,0,0,0.00000311,0,0,-0.00010681,0,0,0.00011473,0,0,-0.00001786
8.81,286,0,0,-0.00000063,0,0,0.00000665,0,0,-0.00000916,0,0,-0.00017203,0,0,-0.00005989,0,0,0.00006747,0,0,0.00001182,0,0,-0.00001687,0,0,-0.00004805,0,0,-0.00010364
8.84,287,0,0,0.00000592,0,0,-0.0000317,0,0,-0.00001038,0,0,-0.00011875,0,0,0.00000183,0,0,0.00006398,0,0,-0.0000591,0,0,-0.00013084,0,0,-0.0001094,0,0,-0.00007661
8.87,288,0,0,0.00002996,0,0,-0.00003048,0,0,-0.00003157,0,0,-0.00018465,0,0,-0.00006348,0,0,0.00007791,0,0,-0.00001224,0,0,-0.00000346,0,0,-0.00001406,0,0,-0.00004303
8.9,289,0,0,-0.00002057,0,0,-0.00010606,0,0,-0.00006575,0,0,-0.00015498,0,0,-0.00009732,0,0,0.00003413,0,0,0.00000411,0,0,-0.00016495,0,0,-0.0000443,0,0,-0.00006723
8.93,290,0,0,0.00009762,0,0,-0.00006843,0,0,-0.00006369,0,0,-0.00017947,0,0,-0.00000945,0,0,0.00005754,0,0,-0.00011954,0,0,-0.00004112,0,0,-0.00005406,0,0,0.00000343
8.96,291,0,0,0.00001563,0,0,-0.00011637,0,0,-0.00006007,0,0,-0.00016376,0,0,-0.0001141,0,0,-0.00012473,0,0,-0.00006361,0,0,0.00004151,0,0,-0.00007595,0,0,-0.00002797
8.99,292,0,0,0.00001553,0,0,-0.00006753,0,0,0.00001247,0,0,-0.00026911,0,0,-0.00008013,0,0,0.00004581,0,0,-0.00007119,0,0,0.0000077,0,0,-0.00001238,0,0,0.00001769
9.03,293,0,0,-0.00002056,0,0,-0.00010587,0,0,-0.00005749,0,0,-0.00010788,0,0,-0.00004017,0,0,-0.00004946,0,0,0.00003743,0,0,-0.00006056,0,0,-0.0000413,0,0,-0.00001516
9.05,294,0,0,-0.00004535,0,0,-0.00008218,0,0,0.00003617,0,0,-0.00024857,0,0,0.00006594,0,0,0.00012289,0,0,-0.00006011,0,0,0.00007877,0,0,-0.00007523,0,0,-0.00002008
9.08,295,0,0,0.00001937,0,0,-0.00004634,0,0,-0.00006282,0,0,-0.00015695,0,0,0.00008391,0,0,-0.00009975,0,0,-0.00002418,0,0,-0.00004109,0,0,-0.00012965,0,0,-0.00004824
9.11,296,0,0,-0.00000685,0,0,-0.00009844,0,0,-0.00005569,0,0,-0.00034808,0,0,0.00005895,0,0,-0.00004705,0,0,-0.00009234,0,0,0.00010348,0,0,-0.00004895,0,0,-0.00010417
9.15,297,0,0,0.00000095,0,0,-0.00005881,0,0,-0.00013282,0,0,-0.00026875,0,0,-0.00005325,0,0,-0.00001049,0,0,-0.00001393,0,0,-0.00005212,0,0,-0.00001778,0,0,-0.00004836
9.17,298,0,0,0.00003476,0,0,-0.00002957,0,0,-0.00003364,0,0,-0.00024704,0,0,0.0000146,0,0,0.00003523,0,0,-0.00014138,0,0,-0.00004464,0,0,-0.00011128,0,0,0.00002456
9.2,299,0,0,-0.00001862,0,0,-0.00008363,0,0,-0.00006404,0,0,-0.00023765,0,0,0.00001312,0,0,-0.00005106,0,0,-0.00005276,0,0,-0.00007186,0,0,-0.00010702,0,0,-0.00003693
9.23,300,0,0,0.00004556,0,0,-0.00006941,0,0,-0.00000792,0,0,-0.0002698,0,0,-0.00004501,0,0,-0.00008087,0,0,-0.00003053,0,0,-0.00006459,0,0,-0.00005425,0,0,-0.00004763
9.26,301,-0.0213941894,0.0003333333,0.00001389,-0.0427883826,0.0006666667,-0.00001815,-0.064182587,0.001,-0.00001355,-0.0855767876,0.0013333333,-0.00020701,-0.1069710106,0.0016666667,-0.00011111,-0.1283652484,0.0020000001,-0.00004354,-0.1497594863,0.0023333333,-0.00003835,-0.1711537689,0.0026666666,0.00002665,-0.1925480664,0.003,-0.00000802,-0.2139423937,0.0033333334,0.0000469
9.29,302,-0.0427883826,0.0006666667,0.00006521,-0.0855767876,0.0013333333,-0.0000305,-0.1283652484,0.0020000001,-0.00004964,-0.1711537689,0.0026666666,-0.00026252,-0.2139423937,0.0033333334,-0.00007156,-0.2567311525,0.0040000002,-0.00003725,-0.2995200157,0.0046666665,0.00000581,-0.3423090577,0.0053333333,-0.00007493,-0.3850983083,0.0060000001,-0.00004855,-0.4278877676,0.0066666668,0.00002025
9.32,303,-0.064182587,0.001,-0.00049337,-0.1283652484,0.0020000001,-0.00012673,-0.1925480664,0.003,-0.00114903,-0.2567311525,0.0040000002,-0.00068361,-0.3209145069,0.0049999999,-0.00095958,-0.3850983083,0.0060000001,-0.00076011,-0.4492826164,0.0070000002,-0.00023201,-0.5134674311,0.0080000004,-0.00112291,-0.5776528716,0.0089999996,-0.00095292,-0.641839087,0.0099999998,-0.0010522
