Iteraciones,,Zmp-Ref_1,Zmp-FT_1_1,Zmp-FT_1_2,Zmp-FT_1_3,,Zmp-Ref_2,Zmp-FT_2_1,Zmp-FT_2_2,Zmp-FT_2_3,,Zmp-Ref_3,Zmp-FT_3_1,Zmp-FT_3_2,Zmp-FT_3_3,,Zmp-Ref_4,Zmp-FT_4_1,Zmp-FT_4_2,Zmp-FT_4_3,,Zmp-Ref_5,Zmp-FT_5_1,Zmp-FT_5_2,Zmp-FT_5_3,,Zmp-Ref_6,Zmp-FT_6_1,Zmp-FT_6_2,Zmp-FT_6_3,,Zmp-Ref_7,Zmp-FT_7_1,Zmp-FT_7_2,Zmp-FT_7_3,,Zmp-Ref_8,Zmp-FT_8_1,Zmp-FT_8_2,Zmp-FT_8_3,,Zmp-Ref_9,Zmp-FT_9_1,Zmp-FT_9_2,Zmp-FT_9_3,,Zmp-Ref_10,Zmp-FT_1_0_1,Zmp-FT_1_0_2,Zmp-FT_1_0_3
547,,0.0099999998,0.01117271,0.00776321,0.00873479,,0.02,0.02201557,0.02131618,0.02051224,,0.03,0.03280299,0.02992099,0.0299288,,0.04,0.04381419,0.03990755,0.04134955,,0.05,0.05345768,0.05530316,0.05568932,,0.06,0.06112386,0.0655839,0.06484967,,0.07,0.07189784,0.07824234,0.08171478,,0.08,0.08147346,0.0862252,0.08344315,,0.09,0.09552659,0.10396352,0.10021431,,0.1,0.10908304,0.11435118,0.11253235
548,,0.0099999998,0.0111167,0.00766869,0.00864856,,0.02,0.02212058,0.02143992,0.02060985,,0.03,0.03289876,0.02983646,0.02998484,,0.04,0.04399079,0.03979689,0.04118837,,0.05,0.05322035,0.05515232,0.05585059,,0.06,0.06124895,0.06586864,0.06496274,,0.07,0.07184267,0.07902966,0.08196979,,0.08,0.08139097,0.08622878,0.0829499,,0.09,0.09536398,0.10385892,0.09981694,,0.1,0.10916694,0.11452962,0.11246859
549,,0.0099999998,0.01106211,0.0076494,0.00875275,,0.02,0.02194059,0.02149557,0.02053834,,0.03,0.0330746,0.02968426,0.02983358,,0.04,0.04401549,0.03986504,0.04139972,,0.05,0.05334268,0.05514399,0.05583727,,0.06,0.06120902,0.06624748,0.06547024,,0.07,0.07213255,0.07906204,0.08192564,,0.08,0.08135122,0.08598126,0.08314458,,0.09,0.09515356,0.10336678,0.09917592,,0.1,0.10935222,0.11506313,0.1124538
550,,0.0099999998,0.01104025,0.00771218,0.00875052,,0.02,0.02193288,0.0214304,0.02039602,,0.03,0.03319907,0.02981825,0.02983384,,0.04,0.04411938,0.03976507,0.04134554,,0.05,0.05318824,0.05534868,0.05596262,,0.06,0.061474,0.06646551,0.0655328,,0.07,0.07190337,0.07925189,0.08185841,,0.08,0.0808837,0.08568937,0.08259025,,0.09,0.09514371,0.10342863,0.09863284,,0.1,0.10962951,0.11502233,0.11240832
551,,0.0099999998,0.01096876,0.00766158,0.00866917,,0.02,0.02204549,0.02146836,0.02041601,,0.03,0.03339915,0.02970672,0.02970201,,0.04,0.0442203,0.03989112,0.04154806,,0.05,0.05288365,0.05516974,0.0559279,,0.06,0.0612966,0.06648131,0.06570122,,0.07,0.07192624,0.0793358,0.08189817,,0.08,0.08100053,0.08536749,0.08274742,,0.09,0.09479633,0.10342978,0.0985029,,0.1,0.10956152,0.1149794,0.11230112
552,,0.0099999998,0.01099944,0.00765848,0.00869801,,0.02,0.02199726,0.02129516,0.02041871,,0.03,0.0333735,0.02971737,0.02984048,,0.04,0.04420179,0.03991743,0.04172005,,0.05,0.05291098,0.05522944,0.05608778,,0.06,0.06138739,0.06667747,0.06594226,,0.07,0.07187078,0.07918513,0.08182829,,0.08,0.08054923,0.08525027,0.08257274,,0.09,0.09479921,0.10325044,0.09726214,,0.1,0.10941537,0.11474562,0.11195094
553,,0.0099999998,0.01098854,0.00768507,0.00868559,,0.02,0.02199007,0.02133559,0.02058765,,0.03,0.03343365,0.02946126,0.02972527,,0.04,0.04425089,0.03993101,0.04197992,,0.05,0.05268873,0.0553763,0.05615477,,0.06,0.06126024,0.06645538,0.06590281,,0.07,0.07189668,0.07896192,0.08164657,,0.08,0.08050758,0.08499423,0.08245285,,0.09,0.094881,0.10339679,0.09686571,,0.1,0.108899,0.11396456,0.1119948
554,,0.0099999998,0.01091928,0.00769654,0.0087233,,0.02,0.02204352,0.02121094,0.02024869,,0.03,0.03342356,0.02944692,0.02965937,,0.04,0.044216,0.03986114,0.0420007,,0.05,0.05255813,0.05555258,0.05620521,,0.06,0.06107829,0.06660427,0.06572646,,0.07,0.0718234,0.07873189,0.08150644,,0.08,0.08045863,0.08487897,0.08220517,,0.09,0.09498958,0.10330461,0.09604201,,0.1,0.10858145,0.11363086,0.11228671
555,,0.0099999998,0.01091448,0.00762731,0.00875241,,0.02,0.02201939,0.02113162,0.02013753,,0.03,0.033268,0.02918386,0.0295008,,0.04,0.04425761,0.03983711,0.04226093,,0.05,0.05243132,0.05571758,0.05621573,,0.06,0.06114201,0.06649484,0.06576915,,0.07,0.07153432,0.07845505,0.08131658,,0.08,0.0804316,0.08488801,0.082301,,0.09,0.0953268,0.10332946,0.09583802,,0.1,0.10820125,0.11317816,0.11311
556,,0.0099999998,0.01097477,0.00771748,0.00874082,,0.02,0.02208088,0.02094622,0.02015252,,0.03,0.03328919,0.02918096,0.02926059,,0.04,0.04425562,0.0398625,0.04238241,,0.05,0.05225823,0.05577956,0.05642264,,0.06,0.06099456,0.0665382,0.06564786,,0.07,0.07142826,0.07799931,0.08111863,,0.08,0.08053648,0.08499064,0.08255606,,0.09,0.09538789,0.10355565,0.09506413,,0.1,0.1078902,0.11328028,0.11294947
