Time,angle_ref,zmp_ref,zmp_ft,ka,ba,iter
5.61,-0.0004029310,0.0000000000,0.00005663,9.9099998474,39.5847282410,188
5.64,0.0004639122,0.0000000000,0.00003627,9.9099998474,39.5847282410,189
5.67,-0.0009806172,0.0000000000,0.00010060,9.9099998474,39.5847282410,190
5.70,0.0001962440,0.0000000000,0.00006765,9.9099998474,39.5847282410,191
5.73,-0.0012675691,0.0000000000,0.00004235,9.9099998474,39.5847282410,192
5.76,0.0000433160,0.0000000000,0.00005470,9.9099998474,39.5847282410,193
5.79,-0.0004100531,0.0000000000,0.00010618,9.9099998474,39.5847282410,194
5.82,-0.0003877092,0.0000000000,0.00010760,9.9099998474,39.5847282410,195
5.85,-0.0009864375,0.0000000000,0.00005467,9.9099998474,39.5847282410,196
5.88,-0.0005822175,0.0000000000,0.00008771,9.9099998474,39.5847282410,197
5.91,-0.0001499671,0.0000000000,0.00006351,9.9099998474,39.5847282410,198
5.94,-0.0009082606,0.0000000000,0.00006332,9.9099998474,39.5847282410,199
5.97,-0.0001215454,0.0000000000,0.00004641,9.9099998474,39.5847282410,200
6.00,-0.0005915703,0.0000000000,0.00008447,9.9099998474,39.5847282410,201
6.03,-0.0001385664,0.0000000000,0.00003150,9.9099998474,39.5847282410,202
6.06,-0.0008753446,0.0000000000,0.00005248,9.9099998474,39.5847282410,203
6.09,0.0002478662,0.0000000000,0.00005154,9.9099998474,39.5847282410,204
6.12,-0.0007235228,0.0000000000,0.00006699,9.9099998474,39.5847282410,205
6.15,-0.0001495753,0.0000000000,0.00009802,9.9099998474,39.5847282410,206
6.18,-0.0006376539,0.0000000000,0.00004993,9.9099998474,39.5847282410,207
6.21,-0.0007381014,0.0000000000,0.00001964,9.9099998474,39.5847282410,208
6.24,-0.0000203321,0.0000000000,0.00009956,9.9099998474,39.5847282410,209
6.27,-0.0001447415,0.0000000000,0.00006043,9.9099998474,39.5847282410,210
6.30,-0.0011207114,0.0000000000,0.00006682,9.9099998474,39.5847282410,211
6.33,0.0000662813,0.0000000000,0.00006699,9.9099998474,39.5847282410,212
6.36,-0.0007439775,0.0000000000,0.00006472,9.9099998474,39.5847282410,213
6.39,-0.0003049542,0.0000000000,0.00009175,9.9099998474,39.5847282410,214
6.42,-0.0004972784,0.0000000000,0.00007927,9.9099998474,39.5847282410,215
6.45,-0.0007429975,0.0000000000,0.00007845,9.9099998474,39.5847282410,216
6.48,-0.0003936879,0.0000000000,0.00005189,9.9099998474,39.5847282410,217
6.51,-0.0006036080,0.0000000000,0.00004961,9.9099998474,39.5847282410,218
6.54,-0.0001670247,0.0000000000,0.00009798,9.9099998474,39.5847282410,219
6.57,-0.0004247523,0.0000000000,0.00007874,9.9099998474,39.5847282410,220
6.60,-0.0008865434,0.0000000000,0.00006140,9.9099998474,39.5847282410,221
6.63,-0.0002936562,0.0000000000,0.00011041,9.9099998474,39.5847282410,222
6.67,-0.0004485245,0.0000000000,0.00013784,9.9099998474,39.5847282410,223
6.70,-0.0010084510,0.0000000000,0.00006454,9.9099998474,39.5847282410,224
6.72,-0.0009321613,0.0000000000,0.00005501,9.9099998474,39.5847282410,225
6.75,-0.0000210852,0.0000000000,0.00011663,9.9099998474,39.5847282410,226
6.78,-0.0005577824,0.0000000000,0.00011378,9.9099998474,39.5847282410,227
6.81,-0.0010382214,0.0000000000,0.00004940,9.9099998474,39.5847282410,228
6.85,-0.0006025773,0.0000000000,0.00006385,9.9099998474,39.5847282410,229
6.87,-0.0000649441,0.0000000000,0.00009556,9.9099998474,39.5847282410,230
6.90,-0.0006724425,0.0000000000,0.00007355,9.9099998474,39.5847282410,231
